,CITY,STATE,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA
4401,Santa Helena,PB,1666.0,900.0,2702.0,1604.0,0.609,-38.64278967,-6.7186942,47235.35,8003.28
4402,Santa Helena,SC,722.0,282.0,882.0,566.0,0.727,-53.61998787,-26.93984392,66.02,28855.13
4405,Santa Inês,MA,20283.0,19248.0,73070.0,44227.0,0.674,-45.37827245,-3.65857452,1230500.39,14690.96
4406,Santa Inês,BA,3240.0,2980.0,9494.0,5777.0,0.574,-39.82760533,-13.29868722,66205.01,5927.57
4407,Santa Inês,PR,590.0,390.0,1189.0,771.0,0.72,-51.90276838,-22.63870653,42611.66,24405.3
4408,Santa Inês,PB,928.0,399.0,1417.0,902.0,0.57,-38.55959993,-7.627779719,26958.08,7498.77
4409,Santa Isabel,SP,15296.0,12007.0,39453.0,26227.0,0.738,-46.22701284,-23.3180885,1238722.69,22328.98
4410,Santa Isabel,GO,1288.0,473.0,1367.0,888.0,0.68,-49.42817795,-15.30239824,76128.18,19788.97
4415,Santa Juliana,MG,3451.0,2962.0,9757.0,6596.0,0.706,-47.52714433,-19.31129893,643078.67,48847.6
4416,Santa Leopoldina,ES,3824.0,928.0,2608.0,1728.0,0.626,-40.53320961,-20.09889069,200556.52,15562.7
4417,Santa Lúcia,SP,2411.0,2284.0,7753.0,5171.0,0.737,-48.08533601,-21.68656785,100238.83,11491.33
4418,Santa Lúcia,PR,1298.0,847.0,2536.0,1515.0,0.687,-53.57114367,-25.41131992,109.97,27734.97
4419,Santa Luz,PI,1466.0,834.0,3101.0,1835.0,0.588,-44.12958591,-8.944624217,41.48,7225.97
4420,Santa Luzia,MG,58363.0,58233.0,191977.0,128417.0,0.715,-43.85000726,-19.76761685,3303797.19,15182.19
